#      Omega(a)             rho_vir/rho_crit     delta_crit^0
     8.5126975402998D-03    37.514104834770    1.6459993980125
     1.1449252966725D-02    39.199600232149    1.6478305519587
     1.3352022755153D-02    40.177470832277    1.6488356846675
     1.5017669760692D-02    40.978517660574    1.6496296818682
     1.6556833201915D-02    41.681147534958    1.6503053064862
     1.8014174099998D-02    42.317992114452    1.6509015164203
     1.9413103390503D-02    42.906576810721    1.6514393675022
     2.0767718364280D-02    43.457674589477    1.6519318640060
     2.2087286433520D-02    43.978496962307    1.6523877425938
     2.3378283218112D-02    44.474165633015    1.6528132255420
     2.4645353473436D-02    44.948447508970    1.6532129117028
     2.5892261852140D-02    45.404325904931    1.6535904136637
     2.7121701087349D-02    45.844062121735    1.6539485059874
     2.8335889098945D-02    46.269505884832    1.6542894494738
     2.9536624114990D-02    46.682173751645    1.6546150989083
     3.0725387349583D-02    47.083328188622    1.6549269989390
     3.1903415543609D-02    47.474033917588    1.6552264525250
     3.3071753515653D-02    47.855199067930    1.6555145710119
     3.4231293064236D-02    48.227605877846    1.6557923115482
     3.5382802314694D-02    48.591934027200    1.6560605055606
     3.6526948228385D-02    48.948778661786    1.6563198807778
     3.7664314123240D-02    49.298664519445    1.6565710785110
     3.8795413491918D-02    49.642057144790    1.6568146673858
     3.9920701029375D-02    49.979371896356    1.6570511543814
     4.1040581527951D-02    50.310981256843    1.6572809937971
     4.2155417122256D-02    50.637220822789    1.6575045946038
     4.3265533242393D-02    50.958394254946    1.6577223265241
     4.4371223545721D-02    51.274777402311    1.6579345251005
     4.5472754032896D-02    51.586621762892    1.6581414959494
     4.6570366506609D-02    51.894157407522    1.6588834437684
     4.7664281497932D-02    52.197595465383    1.6585408483429
     4.8754700753912D-02    52.497130249359    1.6587337212622
     4.9841809366557D-02    52.792941083060    1.6589223540712
     5.0925777604380D-02    53.085193879297    1.6591069472604
     5.2006762494303D-02    53.374042510308    1.6592876865431
     5.3084909191900D-02    53.659630002577    1.6594647443319
     5.4160352181394D-02    53.942089582565    1.6596382810192
     5.5233216318628D-02    54.221545596211    1.6598084461178
     5.6303617754588D-02    54.498114319615    1.6599753792508
     5.7371664741777D-02    54.771904677089    1.6601392110449
     5.8437458355281D-02    55.043018878410    1.6603000639062
     5.9501093124728D-02    55.311552986944    1.6604580527278
     6.0562657603264D-02    55.577597426895    1.6606132855085
     6.1622234871298D-02    55.841237438003    1.6607658639155
     6.2679902988815D-02    56.102553483959    1.6609158837857
     6.3735735400980D-02    56.361621620235    1.6610634355792
     6.4526654027271D-02    56.554541395286    1.6611725597893
     6.5842165968643D-02    56.873298305571    1.6613514723017
     6.6892891048227D-02    57.126039759068    1.6614921147507
     6.7942034837013D-02    57.376799631974    1.6616306048025
     6.8989652519779D-02    57.625636339758    1.6617670114430
     7.0035796392906D-02    57.872605473844    1.6619014002281
     7.1080516066603D-02    58.117759989746    1.6620338335151
     7.2123858649610D-02    58.361150379323    1.6621643706738
     7.3165868918029D-02    58.602824828810    1.6622930682806
