# k (h Mpc^{-1})     P(k) h^{3} Mpc^{-3}
  7.1022671e-06   2.0731548e-04
  7.1022671e-05   1.9214662e-03
  9.9120138e-05   2.6519116e-03
  1.3833303e-04   3.6595277e-03
  1.9305987e-04   5.0487602e-03
  2.6943692e-04   6.9619426e-03
  3.7602879e-04   9.5914980e-03
  5.2479054e-04   1.3193127e-02
  7.3240466e-04   1.8097786e-02
  1.0221509e-03   2.4718991e-02
  1.4265300e-03   3.3539999e-02
  1.9908801e-03   4.5057225e-02
  2.7784974e-03   5.9653199e-02
  3.8777062e-03   7.7355436e-02
  4.2147042e-03   8.2207519e-02
  4.5809663e-03   8.7196056e-02
  4.9790788e-03   9.2293952e-02
  5.4117783e-03   9.7470241e-02
  5.8820945e-03   1.0268529e-01
  6.3932546e-03   1.0789595e-01
  6.9488654e-03   1.1304585e-01
  7.5527464e-03   1.1807820e-01
  8.2091067e-03   1.2292065e-01
  8.9225317e-03   1.2749388e-01
  9.6979312e-03   1.3171382e-01
  1.0540689e-02   1.3548442e-01
  1.1456712e-02   1.3869849e-01
  1.2452398e-02   1.4125042e-01
  1.3534493e-02   1.4302269e-01
  1.4710692e-02   1.4390323e-01
  1.5989210e-02   1.4378711e-01
  1.7378693e-02   1.4257640e-01
  1.8889001e-02   1.4020411e-01
  2.0530522e-02   1.3663116e-01
  2.2314697e-02   1.3187535e-01
  2.4253923e-02   1.2600551e-01
  2.6361669e-02   1.1917447e-01
  2.8652598e-02   1.1160317e-01
  3.1142609e-02   1.0359523e-01
  3.3849090e-02   9.5363403e-02
  3.6790696e-02   8.7386157e-02
  3.9987928e-02   8.0098418e-02
  4.3463130e-02   7.3765050e-02
  4.7240230e-02   6.8473786e-02
  5.1345454e-02   6.4150677e-02
  5.5807684e-02   6.0572339e-02
  6.0542451e-02   5.7332719e-02
  6.5277408e-02   5.3958944e-02
  7.0012244e-02   5.0138962e-02
  7.4747040e-02   4.5914202e-02
  7.9481856e-02   4.1477058e-02
  8.4216832e-02   3.7163896e-02
  8.8951648e-02   3.3327708e-02
  9.3686475e-02   3.0174344e-02
  9.8421278e-02   2.7757557e-02
  1.0315589e-01   2.6013879e-02
  1.0789094e-01   2.4787129e-02
  1.1262609e-01   2.3869921e-02
  1.1736105e-01   2.3047497e-02
  1.2209587e-01   2.2154625e-02
  1.2683001e-01   2.1101737e-02
  1.3156490e-01   1.9870141e-02
  1.3630004e-01   1.8511953e-02
  1.4103503e-01   1.7126393e-02
  1.4576994e-01   1.5816726e-02
  1.5050501e-01   1.4669947e-02
  1.5523906e-01   1.3738551e-02
  1.5997385e-01   1.3024434e-02
  1.6470887e-01   1.2490121e-02
  1.6944393e-01   1.2079973e-02
  1.7417908e-01   1.1733531e-02
  1.7891387e-01   1.1394481e-02
  1.8364917e-01   1.1016393e-02
  1.8838313e-01   1.0575917e-02
  1.9311810e-01   1.0079144e-02
  1.9785318e-01   9.5501029e-03
  2.0258812e-01   9.0204915e-03
  2.0732276e-01   8.5218674e-03
  2.1561502e-01   7.7904937e-03
  2.2423790e-01   7.2509044e-03
  2.3320614e-01   6.8529190e-03
  2.4253422e-01   6.4830994e-03
  2.5223420e-01   6.0460124e-03
  2.6232216e-01   5.5438785e-03
  2.7281295e-01   5.0564009e-03
  2.8372395e-01   4.6622069e-03
  2.9507202e-01   4.3576390e-03
  3.0687321e-01   4.0748310e-03
  3.1914571e-01   3.7649127e-03
  3.3190974e-01   3.4471902e-03
  3.4518506e-01   3.1703373e-03
  3.5899135e-01   2.9418713e-03
  3.7334901e-01   2.7270076e-03
  3.8828087e-01   2.5075931e-03
  4.0380994e-01   2.3021045e-03
  4.1996006e-01   2.1243118e-03
  5.2446681e-01   1.3229213e-03
  6.5497843e-01   8.1220272e-04
  8.1796929e-01   4.9240046e-04
  1.0215203e+00   2.9516818e-04
  1.2757307e+00   1.7513613e-04
  1.5931916e+00   1.0295306e-04
  1.9896515e+00   6.0001155e-05
  2.4847688e+00   3.4686443e-05
  3.1031088e+00   1.9895114e-05
  3.8753061e+00   1.1320795e-05
  4.8396842e+00   6.3868583e-06
  6.0440355e+00   3.5676070e-06
  7.5480712e+00   1.9678998e-06
  9.4264025e+00   1.0669825e-06
  1.1772210e+01   5.6423126e-07
  1.4701613e+01   2.8732092e-07
  1.8360098e+01   1.3803326e-07
  2.2928989e+01   6.0584878e-08
  2.8634915e+01   2.3145616e-08
  3.5760699e+01   7.1830641e-09
  4.4659731e+01   1.6546447e-09
  5.5773256e+01   2.5532923e-10
  6.9652226e+01   2.4049632e-11
  8.6985127e+01   1.3109694e-12
  1.0863106e+02   4.1685090e-14
  1.3566409e+02   8.2509345e-16
  1.6942407e+02   1.1195808e-17
  2.1158506e+02   1.1489543e-19
  2.6607251e+02   1.0479239e-20
  2.6607251e+03   1.0479239e-23
  2.6607251e+10   1.0479239e-44
